步长,wl,模型序号,retention,擦写次数,bake,frequency,prediction,base_value,shap_step,shap_pec,shap_retention,shap_wordline
8,115,2,4,9000,0,1634,1876.7969570754224,1678.496268562245,416.16978309267824,-213.02816193482653,16.451995409962848,-21.29292805463711
9,115,2,4,9000,0,2192,2290.2546348489936,1678.496268562245,841.3070894662604,-299.40552280303575,55.31856736029593,14.538232263228192
10,115,2,4,9000,0,2865,2649.167942752379,1678.496268562245,1156.8136740914194,-195.7231217077344,12.012202332608915,-2.431080526159775
11,115,2,4,9000,0,2838,2649.167942752379,1678.496268562245,1080.352857853535,-134.22227359974605,8.505612574593169,16.03547736175196
12,115,2,4,9000,0,2755,2622.3131576410296,1678.496268562245,893.975150930833,-1.7502692306278842,0.7520414501966208,50.83996592838312
13,115,2,4,9000,0,2082,2150.380521781748,1678.496268562245,298.0296201833095,123.81541576070678,-11.235216571434655,61.27443384692123
14,115,2,4,9000,0,1491,1597.3168304358169,1678.496268562245,-205.69598703358554,80.97224539457123,-12.155007657611595,55.69931117019779
15,115,2,4,9000,0,1034,1043.897741510973,1678.496268562245,-729.2856801223485,45.279156438518385,20.86292200890917,28.545074623648983
16,115,2,4,9000,0,576,539.4055722063067,1678.496268562245,-1142.850408425085,-18.513389764748823,19.376577797310052,2.896524036585559
17,115,2,4,9000,0,320,263.2706621541133,1678.496268562245,-1349.1765727787263,-69.34890472918494,-2.225752104100552,5.525623203880124
19,115,2,4,9000,0,36,79.4720179311471,1678.496268562245,-1497.4024792264504,-101.96123914371184,-10.179886010409176,10.519353749473453
20,115,2,4,9000,0,18,79.4720179311471,1678.496268562245,-1499.8677703915716,-102.14577482244198,-7.550332059583496,10.53962664249933
21,115,2,4,9000,0,5,79.4720179311471,1678.496268562245,-1499.8677703915716,-102.14577482244198,-7.550332059583496,10.53962664249933
1,115,2,6,8000,0,2,42.48880316274881,1678.496268562245,-1534.0753159626179,-108.25070975069002,-0.6746609403563126,6.99322125416797
2,115,2,6,8000,0,3,42.48880316274881,1678.496268562245,-1534.0753159626179,-108.25070975069002,-0.6746609403563126,6.99322125416797
3,115,2,6,8000,0,16,47.850305733094274,1678.496268562245,-1530.9635993823501,-107.29455082621729,-0.6746609403563126,8.286848319773132
4,115,2,6,8000,0,45,96.83736832481918,1678.496268562245,-1488.625274111062,-97.43937424675566,-1.1634650898123913,5.569213210204349
5,115,2,6,8000,0,138,152.56496385512855,1678.496268562245,-1356.6462280676196,-141.3813468533577,-12.583771080778096,-15.319958705360968
6,115,2,6,8000,0,362,337.0839584246253,1678.496268562245,-1029.0976720542694,-240.33212185607672,-16.533302264733628,-55.44921396253977
7,115,2,6,8000,0,893,817.6407886715825,1678.496268562245,-469.24180358838527,-284.0476354653475,-46.72693970140948,-60.839101135520075
8,115,2,6,8000,0,1439,1833.5205853302969,1678.496268562245,407.30265545657,-228.35838237593936,-21.293709203095826,-2.6262471094828754
9,115,2,6,8000,0,2215,2054.7303585405994,1678.496268562245,738.4968092996578,-300.57680445932937,-64.98098382664718,3.2950689646729536
10,115,2,6,8000,0,2846,2662.429824089742,1678.496268562245,1157.1771050887883,-155.79232235485222,-13.711693937578147,-3.7395332688608445
11,115,2,6,8000,0,2861,2662.429824089742,1678.496268562245,1089.6960028749115,-112.21409790306109,-8.238569671586058,14.690220227232563
12,115,2,6,8000,0,2702,2642.0282207408227,1678.496268562245,923.4755441491151,-22.53800963816965,13.172249498095411,49.42216816953687
13,115,2,6,8000,0,2313,2284.41930160987,1678.496268562245,363.468591429581,126.23336848520925,37.12356950445353,79.09750362838147
14,115,2,6,8000,0,1596,1710.4929084089736,1678.496268562245,-148.35642528816555,88.27714605094228,26.177078327563237,65.89884075638864
15,115,2,6,8000,0,1053,1039.6385355107925,1678.496268562245,-717.653366058847,38.41853614124418,14.755316365331943,25.62178050081844
