model_index,curve_family,label,budget,method,run_kind,task_id,WL,Retention,PEC,test_r2,test_rmse,test_mae,abs_peak_step_error,tail_rmse_pct_peak
3,P2,P2 / M3,5,gaussian,sample,7578,229,5,10000,0.9943277618249731,67.74283838770403,44.67917703740119,0.0,0.3749629540017061
3,P2,P2 / M3,5,gaussian,sample,7764,235,4,9000,0.9738536069794185,158.57925709063383,114.05447403898603,1.0,0.5658472651351741
3,P2,P2 / M3,5,gaussian,sample,7785,235,6,8000,0.9696218540353281,167.60448162177408,106.61220751084431,1.0,0.5940636228622443
3,P2,P2 / M3,5,gaussian,sample,7869,238,5,4000,0.980243037903559,132.93483364230974,77.83852129569385,0.0,0.4728827054232838
3,P2,P2 / M3,5,gaussian,sample,7884,238,6,8000,0.9825602194671914,129.43844247200462,90.02427537661146,0.0,1.0144291979085795
3,P2,P2 / M3,5,gaussian,sample,7923,240,4,3000,0.9753711103604439,158.61030899474807,101.0534072917308,0.0,0.2004626629528877
3,P2,P2 / M3,5,gaussian,sample,7931,240,5,0,0.9670041685073248,193.20858736822768,117.16366069642879,1.0,0.10589866308341632
3,P2,P2 / M3,5,gaussian,sample,7948,240,6,6000,0.9761529292914565,157.85570901086237,103.15958049087993,1.0,1.583073480520067
3,P2,P2 / M3,5,gaussian,sample,7971,241,5,7000,0.9945456999735279,68.74871919355282,37.457445146725874,1.0,0.22923676557885864
3,P2,P2 / M3,5,gaussian,sample,8015,242,6,7000,0.9900372864481507,100.43659499976944,73.20887010275545,0.0,1.3738721277556747
3,P2,P2 / M3,5,gaussian,sample,8259,250,4,9000,0.9723844014391401,155.67570461594406,91.84918383635393,1.0,0.2285893081517044
3,P2,P2 / M3,5,gaussian,sample,8325,252,4,9000,0.9855475431220959,121.29038017258503,72.60438766584673,0.0,0.9463530062379266
3,P2,P2 / M3,5,gaussian,sample,8330,252,5,3000,0.9975119547278181,50.77859447056082,33.93704971540172,0.0,0.45940548454658753
3,P2,P2 / M3,5,gaussian,sample,8407,254,6,3000,0.9747728790111508,166.9233554524673,88.71109022626194,0.0,0.46982918951357255
3,P2,P2 / M3,5,gaussian,sample,8441,255,6,4000,0.9620455541824607,214.75744018991801,124.54126295289608,0.0,0.4896342525878512
3,P2,P2 / M3,5,spline,sample,33,1,4,0,0.9133143266932245,318.9017096717529,192.16736327718854,0.0,0.7378316897454172
3,P2,P2 / M3,5,spline,sample,34,1,4,1000,0.9713798277928674,187.25021952507774,131.95322253138823,0.0,1.0732591056182108
